3 1 1 e 14 	1837.168514078	5.841e-05	38
3 1 1 f 14 	1837.482083996	6.007e-05	31
2 0 2 e 36 	1840.381187981	5.254e-05	74
3 3 1 f 13 	1843.468861707	3.490e-04	25
3 3 1 e 13 	1843.469522831	6.343e-04	21
0 0 1 e 66 	1849.421742634	2.679e-04	58
3 1 1 e 15 	1849.753197055	5.909e-05	41
3 1 1 f 15 	1850.111512078	6.029e-05	29
3 3 1 e 14 	1855.245545788	6.549e-04	25
3 3 1 f 14 	1855.245913492	4.147e-04	26
2 0 1 e 40 	1856.145479529	1.066e-04	58
3 1 1 e 16 	1863.176441637	5.980e-05	39
3 1 1 f 16 	1863.582473465	6.098e-05	35
2 2 1 f 40 	1866.263154065	7.464e-05	52
2 2 1 e 40 	1866.414999017	1.164e-04	65
3 3 1 e 15 	1867.863382422	4.850e-04	27
3 3 1 f 15 	1867.863750133	3.995e-04	24
2 0 2 e 37 	1871.223145001	5.337e-05	67
3 1 1 e 17 	1877.438166542	6.049e-05	32
3 1 1 f 17 	1877.894882040	6.165e-05	31
1 1 1 e 55 	1878.143668533	1.665e-04	65
1 1 1 f 55 	1880.573419129	1.775e-04	65
3 1 2 e 1 	1881.100325196	2.000e-04	8
3 1 2 f 1 	1881.103027173	2.186e-03	3
3 3 1 f 16 	1881.321891120	4.723e-04	23
3 3 1 e 16 	1881.322450478	4.661e-04	26
3 1 2 e 2 	1882.770597593	7.836e-05	17
3 1 2 f 2 	1882.775949294	7.978e-05	16
3 1 2 e 3 	1885.275281257	1.264e-05	21
3 1 2 f 3 	1885.286198902	1.603e-05	17
3 1 2 e 4 	1888.614957801	2.843e-05	22
3 1 2 f 4 	1888.633129782	1.030e-04	18
2 0 1 e 41 	1890.512333040	7.787e-05	68
3 1 1 e 18 	1892.538285981	6.117e-05	35
3 1 2 e 5 	1892.789516230	1.484e-05	26
3 1 2 f 5 	1892.816763268	2.116e-05	23
3 1 1 f 18 	1893.048646466	6.232e-05	27
3 3 1 f 17 	1895.621407781	5.953e-04	16
3 3 1 e 17 	1895.621967153	4.067e-04	27
3 1 2 e 6 	1897.798944679	1.672e-05	27
3 1 2 f 6 	1897.837099165	2.325e-05	29
2 2 1 f 41 	1900.663436986	9.318e-05	53
2 2 1 e 41 	1900.830100243	1.235e-04	48
2 0 2 e 38 	1902.896711591	5.417e-05	74
3 1 2 e 7 	1903.643206401	1.976e-05	35
3 1 2 f 7 	1903.694090125	2.439e-05	29
0 0 1 e 67 	1905.357216038	2.789e-04	45
3 1 1 e 19 	1908.476710417	6.185e-05	28
3 1 1 f 19 	1909.043673495	6.298e-05	32
3 1 2 e 8 	1910.322286275	2.155e-05	35
3 1 2 f 8 	1910.387705217	2.649e-05	26
3 3 1 f 18 	1910.761666327	5.992e-04	27
3 3 1 e 18 	1910.762225716	4.661e-04	28
3 1 2 e 9 	1917.836130727	2.315e-05	30
3 1 2 f 9 	1917.917922400	2.700e-05	37
1 1 1 e 56 	1924.966330454	1.807e-04	53
3 1 1 e 20 	1925.253344085	6.252e-05	37
2 0 1 e 42 	1925.714168812	7.197e-05	52
3 1 1 f 20 	1925.879865075	6.364e-05	28
3 1 2 e 10 	1926.184734103	2.587e-05	38
3 1 2 f 10 	1926.284689050	3.017e-05	27
3 3 1 f 19 	1926.742593928	4.773e-04	20
3 3 1 e 19 	1926.743153331	5.595e-04	26
1 1 1 f 56 	1927.484051015	1.678e-04	51
3 1 2 e 11 	1935.368015399	2.779e-05	39
2 0 2 e 39 	1935.401722241	5.500e-05	73
3 1 2 f 11 	1935.487973548	3.070e-05	32
2 2 1 f 42 	1935.900207162	7.110e-05	46
2 2 1 e 42 	1936.082839365	9.374e-05	50
3 1 1 e 21 	1942.868086909	6.319e-05	29
3 1 1 f 21 	1943.557115606	6.429e-05	25
3 3 1 f 20 	1943.564117200	5.935e-04	27
3 3 1 e 20 	1943.564676618	4.663e-04	32
3 1 2 e 12 	1945.385962005	2.913e-05	33
3 1 2 f 12 	1945.527743630	3.278e-05	32
3 1 2 e 13 	1956.238507306	2.946e-05	33
3 1 2 f 13 	1956.403926844	3.385e-05	38
3 3 1 f 21 	1961.226157667	4.703e-04	27
3 3 1 e 21 	1961.226717099	5.597e-04	22
3 1 1 e 22 	1961.320833249	6.384e-05	36
2 0 1 e 43 	1961.750711561	7.256e-05	55
3 1 1 f 22 	1962.075314183	6.493e-05	34
0 0 1 e 68 	1962.121071020	2.895e-04	50
3 1 2 e 14 	1967.925599927	3.044e-05	34
3 1 2 f 14 	1968.116486748	3.434e-05	34
2 0 2 e 40 	1968.738025550	5.577e-05	62
2 2 1 f 43 	1971.973302110	6.954e-05	44
2 2 1 e 43 	1972.172901239	9.270e-05	49
1 1 1 e 57 	1972.620447936	1.689e-04	52
1 1 1 f 57 	1975.227716502	1.799e-04	46
3 3 1 f 22 	1979.728632164	5.935e-04	29
3 3 1 e 22 	1979.729191596	4.866e-04	37
3 1 2 e 15 	1980.447169168	3.187e-05	32
3 1 1 e 23 	1980.611504124	6.448e-05	31
3 1 2 f 15 	1980.665355597	3.360e-05	35
3 1 1 f 23 	1981.434332735	6.573e-05	31
3 1 2 e 16 	1993.803188759	3.307e-05	38
3 1 2 f 16 	1994.050473639	3.484e-05	34
2 0 1 e 44 	1998.621751448	7.238e-05	57
3 3 1 f 23 	1999.071182809	4.126e-04	27
3 3 1 e 23 	1999.071975052	6.014e-04	29
3 1 1 e 24 	2000.739889339	7.309e-05	28
3 1 1 f 24 	2001.634088905	6.620e-05	23
2 0 2 e 41 	2002.905446835	5.656e-05	55
3 1 2 e 17 	2007.993550074	3.430e-05	36
3 1 2 f 17 	2008.271777344	3.601e-05	35
2 2 1 f 44 	2008.882523807	6.621e-05	39
2 2 1 e 44 	2009.100169399	9.357e-05	41
3 3 1 f 24 	2019.254154027	4.773e-04	27
